row_number,edd_outcome,confidence_score,confidence_reason
919,0,1.0,Explicit outcome: case closed with no adverse findings.
920,0,1.0,"Clean case with no adverse findings, no further action required."
921,0,0.95,Explicit outcome: case closed / no action.
922,1,0.95,SAR filed and multiple connections to narcotics trafficking organization.
923,0,1.0,No suspicious activity identified and case closed without additional action.
924,1,0.95,SAR filed and clear ties to narcotics trafficking organization.
925,0,1.0,Explicit outcome: case closed with no adverse findings.
926,0,1.0,Explicit outcome — no suspicious activity identified and enhanced monitoring recommended.
927,0,1.0,Explicit outcome — case closed with no adverse findings.
928,0,1.0,"No suspicious activity, clean review with all necessary documents up to date."
929,1,0.95,SAR filed and account closed — explicit outcome.
930,0,1.0,"Explicit outcome: case closed, no action required."
931,0,1.0,Explicit outcome states 'negative' and 'no action required'.
932,1,0.99,SAR filed and account closed — explicit outcome.
933,1,0.95,SAR filed and account closed — explicit outcome.
934,1,0.95,SAR filed and consistent structuring behavior confirmed.
935,1,0.95,SAR filed and account closed — explicit outcome.
936,0,1.0,No suspicious activity and no adverse action.
937,1,0.99,SAR filed and account closed — explicit outcome.
938,0,1.0,Explicit mention of 'no suspicious activity identified' and 'no further action required'.
939,1,0.95,SAR filed and beneficial ownership unverified.
940,0,1.0,No suspicious activity and no adverse action recommended.
941,1,0.98,"SAR filed, account closed, and adverse media review."
942,1,0.99,SAR filed and explicit trade-based money laundering indicators.
943,1,0.95,SAR filed and account closed — explicit outcome.
944,1,0.98,SAR filed and account closed — explicit outcome.
945,0,1.0,"No adverse findings or actions, clean review outcome."
946,0,0.95,Explicit outcome: case closed and no suspicious activity found.
947,0,1.0,"Explicit outcome: no suspicious patterns, no adverse action."
948,0,0.9,Explicit outcome: no suspicious activity identified and enhanced monitoring recommended.
949,0,1.0,Explicit outcome: case closed and no suspicious activity found.
950,0,0.9,Explicit outcome — no suspicious activity identified and enhanced monitoring recommended.
951,0,0.95,Outcome explicitly states 'No suspicious activity identified' with enhanced monitoring recommended.
952,0,0.95,"No suspicious activity identified, and a clear source of wealth documented."
953,0,1.0,No suspicious activity identified and outcome states case closed/no action.
954,0,0.95,Explicit clean case with no adverse findings.
955,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
956,0,1.0,"Explicit outcome: No adverse actions, no SARs."
957,0,1.0,Explicit outcome: No suspicious activity identified and no adverse action taken.
958,1,0.95,"SAR filed, account closed and unverifiable source of wealth."
959,0,0.99,No suspicious activity identified and review was closed with no action.
960,0,1.0,No suspicious activity identified and case closed without additional action.
961,0,1.0,"No adverse media, no PEP or sanctions matches, and full documentation of source of wealth."
962,0,0.9,Explicit outcome — 'No suspicious activity identified' and enhanced monitoring only.
963,0,1.0,"No suspicious activity identified, source of wealth documented and confirmed, clean review."
964,0,0.9,"Explicit outcome: case closed, no action taken."
965,0,0.9,Explicit outcome: clean case with no adverse findings.
966,0,1.0,Explicit outcome: case closed with no action required.
967,0,1.0,"Alert resolved, case closed with no adverse findings."
968,0,0.99,No suspicious activity identified and case closed without additional action.
969,1,0.95,"SAR filed, account cancelled and law enforcement hold — explicit outcome."
970,0,1.0,"No suspicious activity identified, account remains open with no further action"
971,0,1.0,Explicit outcome: case closed with no adverse action.
972,0,0.9,"No suspicious activity identified, with clear documentation and a legitimate business purpose."
973,1,0.98,Confirmed trade-based money laundering indicators and SAR filing.
974,0,1.0,Explicit outcome: case closed with no action required.
975,0,0.9,"Explicit outcome: case closed, no action required."
976,1,0.95,SAR filed and account closed — explicit outcome.
977,0,1.0,Explicit outcome — case closed/no action/monitoring only.
978,0,1.0,"No suspicious activity identified, and the case was closed with no further action."
979,1,0.95,SAR filed and relationship terminated — explicit outcome.
980,0,0.95,"No SAR, referral, or legal hold; account remains open and scheduled for another review."
981,0,1.0,No suspicious activity identified and case closed without additional action.
982,0,0.9,Explicit outcome: no suspicious activity identified and enhanced monitoring only
983,0,1.0,No suspicious activity identified and case closed with no further action.
984,0,1.0,No suspicious activity identified and no adverse action required.
985,0,0.9,"Explicit outcome: case closed, no adverse action."
986,0,0.95,"Explicit outcome: case closed, no suspicious activity found."
987,0,0.9,Explicit outcome: case closed with no suspicious activity found.
988,1,0.98,SAR filed and account restricted — strong indicators of money laundering.
989,0,1.0,"No suspicious activity, source of wealth fully documented, and no adverse media."
990,0,1.0,Explicit outcome: no suspicious activity identified and no adverse action required.
991,1,0.95,SAR filed and source of wealth unverifiable.
992,0,1.0,Explicit negative outcome and no action required.
993,1,0.95,SAR filed and relationship terminated — explicit outcome.
994,0,1.0,Explicit outcome: case closed/no action/monitoring only.
995,1,0.95,SAR filed and relationship terminated — explicit outcome.
996,1,0.95,SAR filed and account restricted — explicit outcome.
997,0,0.9,Explicit outcome: case closed with no action
998,0,0.9,No suspicious activity identified and no adverse actions required.
999,0,1.0,"No suspicious activity, SAR not filed, and no adverse actions taken."
1000,1,0.99,"SAR filed, law enforcement hold, and account cancellation confirm a clear adverse outcome."
